state,race,gat_count,race_count,bipoc_white_ratio
AK,white,4261,50054,54.099448223169155
AK,bipoc,2054,44600,54.099448223169155
AL,white,33603,280469,45.54427821557273
AL,bipoc,11581,212236,45.54427821557273
AR,white,32369,278296,68.44736492011249
AR,bipoc,13915,174785,68.44736492011249
AZ,white,29659,272092,45.160912273037255
AZ,bipoc,22751,462165,45.160912273037255
CA,white,104000,862829,71.55862261831008
CA,bipoc,275255,3191278,71.55862261831008
CO,white,47103,465889,49.65346721508431
CO,bipoc,19955,397499,49.65346721508431
CT,white,7148,96942,60.075996459374835
CT,bipoc,3670,82850,60.075996459374835
DE,white,1189,14216,56.28738378596244
DE,bipoc,791,16802,56.28738378596244
FL,white,90666,1012373,58.98125571667602
FL,bipoc,85271,1614297,58.98125571667602
GA,white,111697,688138,45.17655237148977
GA,bipoc,75055,1023530,45.17655237148977
HI,white,559,7620,48.063285623124195
HI,bipoc,1513,42911,48.063285623124195
IA,white,43325,368616,49.0022900736998
IA,bipoc,6679,115966,49.0022900736998
ID,white,10419,149420,44.494939424924766
ID,bipoc,1477,47605,44.494939424924766
IL,white,41564,245094,77.88608928581414
IL,bipoc,31483,238359,77.88608928581414
IN,white,100240,624183,57.606671028675294
IN,bipoc,25319,273681,57.606671028675294
KS,white,55989,271562,51.14944372244793
KS,bipoc,15076,142959,51.14944372244793
KY,white,77961,495966,56.59657588456152
KY,bipoc,12168,136774,56.59657588456152
LA,white,17002,280741,52.660465776200994
LA,bipoc,9603,301112,52.660465776200994
MA,white,2369,17100,85.25396028207588
MA,bipoc,1699,14385,85.25396028207588
MD,white,70310,266213,70.91020507249105
MD,bipoc,96429,514886,70.91020507249105
ME,white,8839,124289,64.84131275567653
ME,bipoc,710,15397,64.84131275567653
MI,white,15662,113167,66.2148660125792
MI,bipoc,4505,49160,66.2148660125792
MN,white,48282,282633,80.47580029919689
MN,bipoc,25111,182657,80.47580029919689
MO,white,27564,458125,63.21392732435683
MO,bipoc,7478,196614,63.21392732435683
MS,white,20983,153291,39.48366793221336
MS,bipoc,9804,181399,39.48366793221336
MT,white,4342,63662,48.99628427692098
MT,bipoc,477,14274,48.99628427692098
NC,white,116714,683953,37.10848289566894
NC,bipoc,46635,736448,37.10848289566894
ND,white,1689,22124,50.630089591895896
ND,bipoc,343,8874,50.630089591895896
NE,white,28504,182326,47.1364747517119
NE,bipoc,7224,98031,47.1364747517119
NH,white,1387,13694,140.78432224063204
NH,bipoc,232,1627,140.78432224063204
NJ,white,38890,332203,87.74383451557988
NJ,bipoc,33010,321362,87.74383451557988
NM,white,6364,64640,41.701715172326
NM,bipoc,9113,221962,41.701715172326
NV,white,6192,88746,42.34225702497483
NV,bipoc,5491,185864,42.34225702497483
NY,white,23012,147484,95.43026501951127
NY,bipoc,20405,137038,95.43026501951127
OH,white,117565,919375,48.177442281140486
OH,bipoc,19288,313082,48.177442281140486
OK,white,56923,323943,67.57660461918891
OK,bipoc,40555,341530,67.57660461918891
OR,white,25515,321045,71.8883462697855
OR,bipoc,11601,203052,71.8883462697855
PA,white,45762,1025228,62.14046317031833
PA,bipoc,11555,416592,62.14046317031833
RI,white,280,2271,50.91928251121076
RI,bipoc,14,223,50.91928251121076
SC,white,85055,359680,42.75119339942443
SC,bipoc,34440,340668,42.75119339942443
SD,white,2159,27887,34.99547803003701
SD,bipoc,276,10187,34.99547803003701
TN,white,11415,354516,65.05351559592998
TN,bipoc,4239,202373,65.05351559592998
TX,white,160738,1419591,64.84018293086694
TX,bipoc,264288,3599796,64.84018293086694
UT,white,26929,137303,65.440184678279
UT,bipoc,8624,67193,65.440184678279
VA,white,102135,587312,69.7240697549873
VA,bipoc,72840,600733,69.7240697549873
VT,white,110,1138,107.76515151515152
VT,bipoc,5,48,107.76515151515152
WA,white,40102,499616,70.10071746109467
WA,bipoc,22806,405319,70.10071746109467
WI,white,32356,331941,61.016376156987384
WI,bipoc,8555,143840,61.016376156987384
WV,white,4658,187842,91.13176119266336
WV,bipoc,482,21329,91.13176119266336
WY,white,2334,26323,52.55833651711392
WY,bipoc,275,5901,52.55833651711392
